condition_name,trial_in_condition,rolling_accuracy_mean,rolling_accuracy_sem,rolling_rt_correct_mean,rolling_rt_correct_sem,n_subjects
C6_LowB,35,0.4444444444444444,,1.8950239750556648,,1
C6_LowB,36,0.5555555555555556,,1.8710704000201077,,1
C6_LowB,37,0.5555555555555556,,1.7811151399742813,,1
C6_LowB,38,0.6666666666666666,,2.520163799985312,,1
C6_LowB,39,0.6666666666666666,,2.5012379333299273,,1
C6_LowB,40,0.6666666666666666,,2.5012379333299273,,1
C6_LowB,41,0.6666666666666666,,2.526121333319073,,1
C6_LowB,42,0.6666666666666666,,2.220770883257501,,1
C6_LowB,43,0.7777777777777778,,2.174959071379687,,1
C6_LowB,44,0.8888888888888888,,2.1062609874643385,,1
C6_LowB,45,0.7777777777777778,,2.15354739997669,,1
C6_LowB,46,0.7777777777777778,,2.0725633285806646,,1
C6_LowB,47,0.7777777777777778,,1.331752942841766,,1
C6_LowB,48,0.6666666666666666,,1.3519149833203603,,1
C6_LowB,49,0.7777777777777778,,1.3180675857168223,,1
C6_LowB,50,0.7777777777777778,,1.288046928588301,,1
C6_LowB,51,0.7777777777777778,,1.3311095428985678,,1
C6_LowB,52,0.6666666666666666,,1.2362797666961949,,1
C6_LowB,53,0.6666666666666666,,1.2011516999918967,,1
C6_LowB,54,0.7777777777777778,,1.2364550428797625,,1
C6_LowB,55,0.7777777777777778,,1.3009362857389664,,1
C6_LowB,56,0.6666666666666666,,1.3461366000507649,,1
C6_LowB,57,0.7777777777777778,,1.3008636857515998,,1
C6_LowB,58,0.7777777777777778,,1.3270769571619374,,1
C6_LowB,59,0.7777777777777778,,1.3361516000170792,,1
C6_LowB,60,0.7777777777777778,,1.2845850285874414,,1
C6_LowB,61,0.8888888888888888,,1.3314151250233408,,1
C6_LowB,62,0.8888888888888888,,1.3613811250543222,,1
C6_LowB,63,0.8888888888888888,,1.3127004125271924,,1
C6_LowB,64,0.8888888888888888,,1.3461777875199914,,1
C6_LowB,65,1.0,,1.530795822230478,,1
C6_LowB,66,1.0,,1.5437275222502649,,1
C6_LowB,67,1.0,,1.5232822889358633,,1
C6_LowB,68,1.0,,1.522904433361772,,1
C6_LowB,69,1.0,,1.5300582666984863,,1
C6_LowB,70,1.0,,1.5566290555677067,,1
C6_LowB,71,1.0,,1.4936188777856942,,1
C6_LowB,72,1.0,,1.5263869333494868,,1
C6_LowB,73,1.0,,1.5031852777788623,,1
C6_LowB,74,1.0,,1.3628977444540296,,1
C6_LowB,75,1.0,,1.3230004777821402,,1
